,Author,State,closed_at,created_at,issue_number,labels
314,SPM587SP19,closed,2019-04-03,2019-03-31,46,"['Category:Enhancement', 'DetectionPhase:Coding', 'OriginationPhase:Requirements', 'Priority:Major', 'Status:Rejected']"
315,SPM587SP19,closed,2019-04-01,2019-03-31,45,"['Category:Inquiry', 'DetectionPhase:Coding', 'OritinationPhase:Design', 'Priority:Major', 'Status:Completed']"
316,SPM587SP19,closed,2019-04-01,2019-03-31,44,"['Category:Bug', 'DetectionPhase:Coding', 'OriginationPhase:Testing', 'Priority:Major', 'Status:inProgress']"
317,SPM587SP19,closed,2019-04-01,2019-03-31,43,"['Category:Bug', 'DetectionPhase:Field', 'OriginationPhase:Documentation', 'Priority:High', 'Status:Approved']"
318,SPM587SP19,closed,2019-04-01,2019-03-31,42,"['Category:Enhancement', 'DetectionPhase:Coding', 'OriginationPhase:Testing', 'Priority:Medium', 'Status:Completed']"
319,SPM587SP19,closed,2019-04-07,2019-03-31,41,"['Category:Bug', 'DetectionPhase:Coding', 'OriginationPhase:Documentation', 'Priority:Major', 'Status:pendingReview']"
320,SPM587SP19,closed,2019-04-03,2019-03-31,40,"['Category:Inquiry', 'DetectionPhase:Design', 'OriginationPhase:Field', 'Priority:Low', 'Status:Completed']"
321,SPM587SP19,closed,2019-04-03,2019-03-31,39,"['Category:Inquiry', 'DetectionPhase:Design', 'OriginationPhase:Documentation', 'Priority:High', 'Status:Rejected']"
322,SPM587SP19,closed,2019-04-03,2019-03-31,38,"['Category:Enhancement', 'DetectionPhase:Design', 'OritinationPhase:Design', 'Priority:High', 'Status:inProgress']"
323,SPM587SP19,closed,2019-04-03,2019-03-31,37,"['Category:Inquiry', 'DetectionPhase:Design', 'OriginationPhase:Documentation', 'Priority:Low', 'Status:inProgress']"
324,SPM587SP19,closed,2019-04-02,2019-03-31,36,"['Category:Bug', 'DetectionPhase:Coding', 'OriginationPhase:Coding', 'Priority:Major', 'Status:Rejected']"
325,SPM587SP19,closed,2019-04-03,2019-03-31,35,"['Category:Enhancement', 'DetectionPhase:Design', 'OriginationPhase:Requirements', 'Priority:Medium', 'Status:pendingReview']"
326,SPM587SP19,closed,2019-04-02,2019-03-31,34,"['Category:Enhancement', 'DetectionPhase:Coding', 'OritinationPhase:Design', 'Priority:Low', 'Status:Approved']"
327,SPM587SP19,closed,2019-04-05,2019-03-31,33,"['Category:Bug', 'DetectionPhase:Coding', 'OriginationPhase:Requirements', 'Priority:Major', 'Status:Rejected']"
328,SPM587SP19,closed,2019-04-02,2019-03-31,32,"['Category:Inquiry', 'DetectionPhase:Field', 'OriginationPhase:Coding', 'Priority:Medium', 'Status:Rejected']"
329,SPM587SP19,closed,2019-04-03,2019-03-31,31,"['Category:Bug', 'DetectionPhase:Design', 'OriginationPhase:Requirements', 'Priority:Major', 'Status:pendingReview']"
330,SPM587SP19,closed,2019-04-02,2019-03-31,30,"['Category:Inquiry', 'DetectionPhase:Coding', 'OritinationPhase:Design', 'Priority:High', 'Status:inProgress']"
